code,ko_text,ko_braille,braille_chars,frequency
H315,피부에 자극을 일으킴,⠴⠠⠓⠼⠉⠁⠑⠀⠐⠂⠀⠙⠕⠘⠍⠛⠝⠀⠨⠣⠈⠪⠁⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠢,35,3327
H317,알레르기성 피부 반응을 일으킬 수 있음,⠴⠠⠓⠼⠉⠁⠛⠀⠐⠂⠀⠛⠣⠂⠐⠝⠐⠪⠈⠕⠠⠎⠶⠀⠙⠕⠘⠍⠀⠘⠣⠒⠛⠪⠶⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠂⠀⠠⠍⠀⠛⠕⠌⠛⠪⠢,57,1364
H318,눈에 심한 손상을 일으킴,⠴⠠⠓⠼⠉⠁⠓⠀⠐⠂⠀⠉⠍⠒⠛⠝⠀⠠⠕⠢⠚⠣⠒⠀⠠⠥⠒⠠⠣⠶⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠢,42,869
H319,눈에 심한 자극을 일으킴,⠴⠠⠓⠼⠉⠁⠊⠀⠐⠂⠀⠉⠍⠒⠛⠝⠀⠠⠕⠢⠚⠣⠒⠀⠨⠣⠈⠪⠁⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠢,41,4475
H320,눈에 자극을 일으킴,⠴⠠⠓⠼⠉⠃⠚⠀⠐⠂⠀⠉⠍⠒⠛⠝⠀⠨⠣⠈⠪⠁⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠢,34,10
H330,흡입하면 치명적임,⠴⠠⠓⠼⠉⠉⠚⠀⠐⠂⠀⠚⠪⠃⠛⠕⠃⠚⠣⠑⠱⠒⠀⠰⠕⠑⠱⠶⠨⠎⠁⠛⠕⠢,34,623
H331,흡입하면 유독함,⠴⠠⠓⠼⠉⠉⠁⠀⠐⠂⠀⠚⠪⠃⠛⠕⠃⠚⠣⠑⠱⠒⠀⠛⠩⠊⠥⠁⠚⠣⠢,31,708
H332,흡입하면 유해함,⠴⠠⠓⠼⠉⠉⠃⠀⠐⠂⠀⠚⠪⠃⠛⠕⠃⠚⠣⠑⠱⠒⠀⠛⠩⠚⠗⠚⠣⠢,30,631
H334,"흡입시 알레르기성 반응,천식 또는 호흡 곤란 등을 일으킬 수 있음",⠴⠠⠓⠼⠉⠉⠙⠀⠐⠂⠀⠚⠪⠃⠛⠕⠃⠠⠕⠀⠛⠣⠂⠐⠝⠐⠪⠈⠕⠠⠎⠶⠀⠘⠣⠒⠛⠪⠶⠐⠰⠎⠒⠠⠕⠁⠀⠠⠊⠥⠉⠪⠒⠀⠚⠥⠚⠪⠃⠀⠈⠥⠒⠐⠣⠒⠀⠊⠪⠶⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠂⠀⠠⠍⠀⠛⠕⠌⠛⠪⠢,92,233
H335,호흡기 자극을 일으킬 수 있음,⠴⠠⠓⠼⠉⠉⠑⠀⠐⠂⠀⠚⠥⠚⠪⠃⠈⠕⠀⠨⠣⠈⠪⠁⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠂⠀⠠⠍⠀⠛⠕⠌⠛⠪⠢,46,1501
H336,졸음 또는 현기증을 일으킬 수 있음,⠴⠠⠓⠼⠉⠉⠋⠀⠐⠂⠀⠨⠥⠂⠛⠪⠢⠀⠠⠊⠥⠉⠪⠒⠀⠚⠱⠒⠈⠕⠨⠪⠶⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠂⠀⠠⠍⠀⠛⠕⠌⠛⠪⠢,55,357
H340,"유전적인 결함을 일으킬 수 있음(유전적인 결함을 일으키는 노출 경로를 기재한다. 단, 다른 노출경로에 의해 유전적인 결함을 일으키지 않는다는 결정적인 증거가 있는 경우에 한한다.)",⠴⠠⠓⠼⠉⠙⠚⠀⠐⠂⠀⠛⠩⠨⠎⠒⠨⠎⠁⠛⠕⠒⠀⠈⠱⠂⠚⠣⠢⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠂⠀⠠⠍⠀⠛⠕⠌⠛⠪⠢⠤⠛⠩⠨⠎⠒⠨⠎⠁⠛⠕⠒⠀⠈⠱⠂⠚⠣⠢⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠉⠪⠒⠀⠉⠥⠰⠍⠂⠀⠈⠱⠶⠐⠥⠐⠪⠂⠀⠈⠕⠨⠗⠚⠣⠒⠊⠣⠲⠀⠊⠣⠒⠐⠀⠊⠣⠐⠪⠒⠀⠉⠥⠰⠍⠂⠈⠱⠶⠐⠥⠛⠝⠀⠛⠺⠚⠗⠀⠛⠩⠨⠎⠒⠨⠎⠁⠛⠕⠒⠀⠈⠱⠂⠚⠣⠢⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠨⠕⠀⠛⠣⠒⠴⠉⠪⠒⠊⠣⠉⠪⠒⠀⠈⠱⠂⠨⠎⠶⠨⠎⠁⠛⠕⠒⠀⠨⠪⠶⠈⠎⠈⠣⠀⠛⠕⠌⠉⠪⠒⠀⠈⠱⠶⠛⠍⠛⠝⠀⠚⠣⠒⠚⠣⠒⠊⠣⠲⠤,231,393
