id,noise_type,sim_clean_noisy,sim_clean_corrected,delta_sim,chrf_clean_noisy,chrf_clean_corrected,delta_chrf
bf_138,braille_corruption,0.96,0.96,0.0,0.8861,0.8861,0.0
bf_139,braille_corruption,0.9259,0.9074,-0.0185,0.751,0.7416,-0.0094
bf_140,braille_corruption,0.9048,0.8952,-0.0095,0.711,0.7079,-0.003
bf_141,braille_corruption,0.9368,0.9263,-0.0105,0.7999,0.8072,0.0074
bf_142,braille_corruption,0.9615,0.9615,0.0,0.898,0.898,0.0
bf_143,braille_corruption,0.9194,0.9113,-0.0081,0.7943,0.7943,0.0
bf_144,braille_corruption,0.9867,0.9867,0.0,0.9538,0.9538,0.0
bf_145,braille_corruption,0.9474,0.9398,-0.0075,0.8497,0.8497,-0.0
bf_146,braille_corruption,0.9615,0.9487,-0.0128,0.8842,0.8818,-0.0023
bf_147,braille_corruption,0.9327,0.9231,-0.0096,0.8364,0.8348,-0.0017
bf_148,braille_corruption,0.9647,0.9529,-0.0118,0.8735,0.8733,-0.0002
bf_149,braille_corruption,0.9388,0.9286,-0.0102,0.783,0.7742,-0.0088
bf_150,braille_corruption,0.9468,0.9468,0.0,0.8272,0.8272,0.0
bf_151,braille_corruption,0.9028,0.8889,-0.0139,0.7475,0.7454,-0.0022
bf_152,braille_corruption,0.9366,0.9261,-0.0106,0.8081,0.7956,-0.0125
bf_153,braille_corruption,0.9271,0.9062,-0.0208,0.7966,0.7966,0.0
bf_154,braille_corruption,0.9638,0.9565,-0.0072,0.8926,0.8925,-0.0001
bf_155,braille_corruption,0.9145,0.906,-0.0085,0.7666,0.7666,0.0001
bf_156,braille_corruption,0.9242,0.9242,0.0,0.7325,0.7325,0.0
bf_157,braille_corruption,0.939,0.939,0.0,0.7943,0.7943,0.0
bf_158,braille_corruption,0.9138,0.9224,0.0086,0.7855,0.7856,0.0001
bf_159,braille_corruption,0.8438,0.8125,-0.0312,0.5545,0.5437,-0.0108
bf_160,braille_corruption,0.8861,0.8861,0.0,0.7127,0.7016,-0.0111
bf_161,braille_corruption,0.9333,0.9333,0.0,0.8048,0.8048,0.0
bf_162,braille_corruption,0.9154,0.9077,-0.0077,0.8119,0.8119,0.0
bf_163,braille_corruption,0.9722,0.9722,0.0,0.9062,0.9062,0.0
bf_164,braille_corruption,0.9273,0.9091,-0.0182,0.7507,0.7479,-0.0029
bf_165,braille_corruption,0.9306,0.9306,0.0,0.7864,0.7864,0.0
bf_166,braille_corruption,0.9639,0.9518,-0.012,0.8725,0.8621,-0.0103
bf_167,braille_corruption,0.9159,0.9065,-0.0093,0.7615,0.7533,-0.0082
bf_168,braille_corruption,0.9833,0.9833,0.0,0.9382,0.9382,0.0
bf_169,braille_corruption,0.898,0.88,-0.018,0.7956,0.7956,-0.0
bf_170,braille_corruption,0.9454,0.9399,-0.0055,0.8247,0.8153,-0.0093
