id,noise_type,sim_clean_noisy,sim_clean_corrected,delta_sim,chrf_clean_noisy,chrf_clean_corrected,delta_chrf
nc_001,missing_punctuation,0.9615,1.0,0.0385,0.9655,1.0,0.0345
nc_002,merged_words,0.9615,0.9615,0.0,0.8522,0.8522,0.0
nc_003,split_words,0.963,0.963,0.0,0.8802,0.8802,0.0
nc_004,spelling_variation,0.8462,0.8462,0.0,0.6534,0.6534,0.0
nc_005,dropped_function_words,0.6154,0.6154,0.0,0.6257,0.6257,0.0
nc_006,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_007,mixed_noise,0.8462,0.8462,0.0,0.7826,0.7826,0.0
nc_008,missing_punctuation,0.9615,1.0,0.0385,0.9655,1.0,0.0345
nc_009,merged_words,0.9615,0.9615,0.0,0.8522,0.8522,0.0
nc_010,split_words,0.963,0.963,0.0,0.9035,0.9035,0.0
nc_011,spelling_variation,1.0,1.0,0.0,1.0,1.0,0.0
nc_012,dropped_function_words,1.0,1.0,0.0,1.0,1.0,0.0
nc_013,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_014,mixed_noise,0.9615,1.0,0.0385,0.9655,1.0,0.0345
nc_015,missing_punctuation,0.9714,1.0,0.0286,0.9752,1.0,0.0248
nc_016,merged_words,0.9714,0.9714,0.0,0.8947,0.8947,0.0
nc_017,split_words,0.9211,0.9211,0.0,0.7628,0.7628,0.0
nc_018,spelling_variation,0.9429,0.9429,0.0,0.7889,0.7889,0.0
nc_019,dropped_function_words,0.8,0.8,0.0,0.763,0.763,0.0
nc_020,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_021,mixed_noise,0.9429,0.9429,0.0,0.7833,0.7833,0.0
nc_022,missing_punctuation,0.9697,0.9697,0.0,0.9735,0.9671,-0.0064
nc_023,merged_words,0.9697,0.9697,0.0,0.8875,0.8875,0.0
nc_024,split_words,0.9706,0.9706,0.0,0.9087,0.9087,0.0
nc_025,spelling_variation,0.9394,0.9394,0.0,0.8649,0.8649,0.0
nc_026,dropped_function_words,0.8788,0.8788,0.0,0.856,0.856,0.0
nc_027,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_028,mixed_noise,0.9394,0.9412,0.0018,0.8817,0.876,-0.0057
nc_029,missing_punctuation,0.9773,1.0,0.0227,0.9806,1.0,0.0194
nc_030,merged_words,0.9773,0.9773,0.0,0.9182,0.9182,0.0
nc_031,split_words,0.9565,0.9565,0.0,0.8802,0.8802,0.0
nc_032,spelling_variation,0.9545,0.9545,0.0,0.8973,0.8973,0.0
nc_033,dropped_function_words,0.9091,0.9091,0.0,0.8787,0.8787,0.0
nc_034,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_035,mixed_noise,0.9778,0.9778,0.0,0.9335,0.9335,0.0
nc_036,missing_punctuation,0.973,1.0,0.027,0.9766,1.0,0.0234
nc_037,merged_words,0.973,0.973,0.0,0.9319,0.9319,0.0
nc_038,split_words,0.9487,0.9487,0.0,0.8401,0.8401,0.0
nc_039,spelling_variation,0.8378,0.8378,0.0,0.5953,0.5953,0.0
nc_040,dropped_function_words,0.7838,0.7838,0.0,0.6987,0.6987,0.0
nc_041,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_042,mixed_noise,0.7838,0.7838,0.0,0.6487,0.6487,0.0
nc_043,missing_punctuation,0.898,0.8776,-0.0204,0.728,0.664,-0.064
nc_044,merged_words,0.9796,0.9592,-0.0204,0.9273,0.8653,-0.062
nc_045,split_words,0.98,0.9592,-0.0208,0.9631,0.9052,-0.0579
nc_046,spelling_variation,0.9592,0.9388,-0.0204,0.8539,0.7913,-0.0626
nc_047,dropped_function_words,0.8776,0.8571,-0.0204,0.8177,0.7539,-0.0639
nc_048,number_format_noise,1.0,0.9796,-0.0204,1.0,0.9386,-0.0614
nc_049,mixed_noise,0.98,0.9592,-0.0208,0.952,0.894,-0.0579
nc_050,missing_punctuation,0.9792,1.0,0.0208,0.9823,1.0,0.0177
